Generating SQLite file results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite from results/nsys_gradient_clip/20260903_143600/large_256_train_step.nsys-rep
Processing [results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

        NVTX Range           Style     PID      TID    NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 forward                    PushPop  383,872  383,872          1         73          117,852    1,614.4    1,663.0     1,471     1,920        115.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
 forward                    PushPop  383,872  383,872          1         36          105,723    2,936.8    2,944.0     2,879     3,008         32.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
 forward                    PushPop  383,872  383,872          1         36           56,511    1,569.8    1,536.0     1,344     1,888        133.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
 forward                    PushPop  383,872  383,872          1         36           43,677    1,213.3    1,280.0     1,087     1,312         94.7  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 forward                    PushPop  383,872  383,872          1          1            6,080    6,080.0    6,080.0     6,080     6,080          0.0  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
 loss                       PushPop  383,872  383,872          1          2           69,663   34,831.5   34,831.5    34,335    35,328        702.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 loss                       PushPop  383,872  383,872          1          1           27,327   27,327.0   27,327.0    27,327    27,327          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
 loss                       PushPop  383,872  383,872          1          1           27,327   27,327.0   27,327.0    27,327    27,327          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
 loss                       PushPop  383,872  383,872          1          1           24,960   24,960.0   24,960.0    24,960    24,960          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
 loss                       PushPop  383,872  383,872          1          1           20,544   20,544.0   20,544.0    20,544    20,544          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 loss                       PushPop  383,872  383,872          1          1            9,600    9,600.0    9,600.0     9,600     9,600          0.0  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
 loss                       PushPop  383,872  383,872          1          1            3,039    3,039.0    3,039.0     3,039     3,039          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
